file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav,0 days,0 days 00:00:03.503499999,29.704147,0.09771139,28.090628,29.455544,31.617111,3.5264835,360.9814,323.27377,19.799686,23.015535,0.2652023,1.2809577,0.0017101082,0.02687966,0.54912883,0.5474187,7.7313013,5.516867,6.141964,3.5535266,0.11727058,1.3543726,9.656618,1.7480721,4.4044714,2.1648753,6.8775535,1.8589269,1.4501196,9.388066,0.03777788,1.7035897,1.3852983,0.6916468,4.116659,0.84852135,0.77171564,8.132222,17.21342,0.3403313,554.51013,0.48569712,1171.0594,0.23411311,-136.5576,-0.6591371,1575.3447,0.23524529,810.9346,0.29584375,-134.09976,-0.6471836,2586.1248,0.13754289,744.2959,0.43509254,-135.04323,-0.63290966,-10.344822,-0.6300014,18.691462,0.4879525,0.10241762,0.25345448,-0.014945892,-0.8327707,0.29192787,0.44620815,26.803843,0.47726318,4.0693717,2.0610192,12.781018,1.374634,-4.181092,-4.6634116,0.8823484,7.3401985,0.08844898,0.015560085,0.022599557,2.5787966,0.8720931,0.41,0.27471197,0.53499997,0.45013884,-38.863518,03-01-08-02-02-01-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav,0 days,0 days 00:00:03.403395833,27.940025,0.1682987,23.981987,27.72736,33.356747,9.37476,133.08176,146.03934,38.36934,83.13822,0.13075702,1.4724654,0.0020206647,0.010519348,0.25160995,0.24958928,3.984747,2.1208873,4.0591536,1.9379041,0.056950457,1.6896622,10.746804,1.5852844,4.25828,2.017161,5.816737,2.4889312,4.0336165,2.7843626,0.042774744,1.2487603,1.6880323,0.7940169,2.7763822,1.0661275,2.4368,2.8773274,22.344368,0.27692562,563.9888,0.59634966,1089.5308,0.257453,-140.75485,-0.6171579,1517.0804,0.23232915,850.0865,0.34940785,-140.82574,-0.59666574,2535.0254,0.13068992,701.18677,0.29782522,-143.1058,-0.5641163,-12.222302,-0.6174646,21.177378,0.43730506,0.083334364,0.3330062,-0.012301159,-1.0718758,0.16224982,0.6825269,28.42794,0.4682537,6.752927,1.7093546,15.651063,1.1519763,2.3941936,6.937997,-0.21398874,8.529641,0.087217376,0.0145457005,0.0084003415,2.0648968,1.7964072,0.17,0.06733003,0.3633333,0.4610375,-44.689613,03-01-08-01-01-01-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,0 days,0 days 00:00:03.503499999,29.058771,0.14237341,25.415398,28.782507,32.848175,7.4327774,281.3453,280.85278,39.346024,49.295437,0.25218406,1.3600135,0.0050336234,0.030422837,0.54022056,0.53518695,6.493708,3.359824,6.0151296,3.510181,0.12592314,1.5899681,9.513176,1.7593131,5.0582643,2.2956126,7.8110003,1.6218562,1.5872571,9.328535,0.06266662,1.861751,1.4280555,0.5959016,2.7348626,1.2939303,3.6254802,2.1710212,20.690268,0.29752138,522.5342,0.47373345,1181.2202,0.23724942,-141.02132,-0.6210216,1509.7296,0.22935586,805.83356,0.36888328,-134.3898,-0.64845914,2567.426,0.124374114,573.0581,0.44234815,-136.08899,-0.62277156,-11.242266,-0.67174804,19.13305,0.42745426,0.096989624,0.39912793,-0.014562889,-0.7302519,0.3187013,0.7036573,25.693676,0.52994525,5.5169177,1.8783689,13.704113,1.209445,-5.8838477,-3.5484817,0.815731,7.3184867,0.064570725,0.012270239,0.021616613,2.5787966,1.1627908,0.29999998,0.27083203,0.53499997,0.43557432,-38.34242,03-01-05-01-02-01-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav,0 days,0 days 00:00:03.703687500,27.157803,0.19074453,25.587513,26.391397,27.204056,1.6165428,211.11653,205.74501,155.21533,145.67426,0.19578671,1.2015579,0.0050350083,0.046025753,0.3906085,0.38557348,4.741351,3.3824835,4.2152333,3.2275624,0.064861126,1.3132429,12.378774,1.4655354,3.5060747,2.6965823,10.36561,1.1102836,2.8174732,3.8310964,0.024398293,1.3806946,1.3507333,0.80991983,4.572039,0.73028356,2.1865985,4.5579596,19.56028,0.35210237,530.86536,0.46267056,1189.3394,0.22055429,-131.31744,-0.70252466,1500.918,0.19111753,902.5867,0.26528165,-132.02275,-0.66848564,2509.4858,0.1262624,710.5586,0.310093,-133.1338,-0.64215535,-11.230277,-0.6985521,19.082146,0.46508187,0.07784333,0.34748784,-0.009617771,-1.0230983,0.14928722,0.53388083,29.564037,0.48887843,2.8174517,3.2695959,18.24098,0.6980675,1.652776,8.234867,-2.2530012,10.36288,0.043433666,0.008983211,0.015381495,2.4390244,1.0989012,0.33249998,0.34178755,0.444,0.44274595,-42.572178,03-01-06-01-02-02-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav,0 days,0 days 00:00:04.237562500,38.547504,0.17183246,35.49174,39.168518,41.107716,5.6159744,481.6075,582.08813,63.98138,23.48174,0.62796575,1.1259683,0.0774906,0.33128476,1.1606972,1.0832067,10.080567,6.790108,11.751607,7.9100666,0.347026,1.4756614,10.244099,1.090508,-6.7365713,-1.4783176,-2.2380283,-6.0931706,0.30751544,48.183067,0.041569747,1.5878139,1.159948,0.7533567,6.7687826,0.80132085,8.168425,1.4097682,15.453068,0.60936844,752.0532,0.41955876,1044.585,0.3082661,-136.76031,-0.63449633,1771.8647,0.20333728,864.6456,0.45338085,-119.72336,-0.7458894,2794.3643,0.13459833,700.0161,0.71776104,-121.638,-0.7160668,-7.3188047,-1.1799778,18.307917,0.46663773,0.10121072,0.38086435,-0.005054131,-2.212953,0.73501873,0.7814654,17.946722,0.6069652,-6.2347207,-1.8825665,-2.5030982,-6.921807,-4.550613,-4.3915977,-0.16641699,11.922344,0.06790844,0.011406943,0.05437837,2.1327016,1.9184651,0.2175,0.17858821,0.28125,0.37058863,-27.902489,03-01-06-02-01-02-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,0 days,0 days 00:00:04.104104167,41.331577,0.1556215,39.288895,43.20465,45.903465,6.6145706,157.72104,79.36478,36.36069,8.997948,1.2545366,1.2319909,0.014363263,0.37334836,2.807121,2.7927577,21.850685,12.207253,25.15093,11.825091,1.0227559,1.4744847,4.7100735,2.3458364,-5.3492084,-2.2653577,-3.09479,-3.9352462,-8.06968,-2.6315453,0.03203471,1.7148805,1.126534,0.61094797,5.6335087,1.0645036,5.517004,2.0375073,11.747267,0.9614998,962.3369,0.23927389,785.6799,0.46959588,-120.97481,-0.76701677,2034.117,0.13794394,649.2031,0.4710549,-116.28786,-0.7904376,3113.5942,0.09803944,507.0245,0.61443955,-118.66215,-0.75296265,-4.3950453,-1.3224967,14.143477,0.48252487,0.1269933,0.36042976,-0.007756718,-1.6807384,2.2257268,0.7142859,8.309762,1.2585515,-12.256129,-1.0576291,-9.674899,-1.4607763,-21.138744,-1.1089692,-1.2133105,10.184075,0.06404616,0.009468919,0.078294,1.7114916,1.4851485,0.29166666,0.18703088,0.35833332,0.351398,-20.999664,03-01-05-02-01-01-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,0 days,0 days 00:00:03.870520833,30.35129,0.26794055,24.96743,27.436966,35.272305,10.304874,40.733757,174.21507,82.303505,15.5308075,0.12358654,1.0284754,0.007125518,0.0624056,0.2619332,0.25480768,2.8231485,1.8139125,1.9145349,1.270392,0.040776506,1.2655236,12.216075,1.5043724,3.7013924,3.945395,5.0270925,2.753191,3.0706015,4.35282,0.037357166,1.4458252,1.2103009,0.66044074,3.7021816,1.305817,5.7574677,1.0806628,24.0109,0.47742817,508.83698,0.48984393,1202.1404,0.4376622,-141.14093,-0.621429,1462.9844,0.20929009,800.83405,0.3149239,-140.0401,-0.586039,2517.039,0.10870754,727.7344,0.47803524,-141.45723,-0.5608549,-14.054801,-0.8171819,22.142864,0.5405778,0.091826215,0.43302104,-0.012220218,-1.1974068,0.10062989,0.41840446,27.229673,0.6976288,11.315698,1.1771826,10.057379,1.7695476,3.7599401,4.7274923,-0.52455115,10.065223,0.08281855,0.011652806,0.011899373,2.5906737,1.8372704,0.17285715,0.14359808,0.34857142,0.45542532,-47.081436,03-01-07-01-01-01-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,0 days,0 days 00:00:03.570229167,23.949068,0.07507556,22.715227,23.1894,25.770952,3.055725,242.74142,295.92175,24.234898,14.800448,0.106168896,1.2963607,0.0030548305,0.018057834,0.21050371,0.20744888,2.4903607,1.2891916,2.466354,1.5137242,0.029259628,1.4558057,13.608724,1.2778112,4.893865,2.46495,10.932597,1.2005087,2.307888,5.084528,0.022333222,1.1447152,1.2005416,0.66913444,3.2999434,1.1275235,3.5983942,0.88983375,21.922209,0.3905217,544.806,0.6457229,1165.1472,0.27029333,-138.58899,-0.64367676,1499.6787,0.25231427,882.51294,0.35024706,-141.03345,-0.60436344,2501.772,0.141668,752.0303,0.4225154,-143.22797,-0.573013,-13.143418,-0.5602489,20.24869,0.38437968,0.07179607,0.37395123,-0.01021629,-1.3929847,0.07550937,0.59599906,29.947098,0.44349408,4.58311,3.3633735,23.515846,0.512315,0.10066811,174.55241,-2.7507174,11.180085,0.07125692,0.009755475,0.008115557,2.247191,1.1396011,0.2725,0.11882234,0.46599996,0.4940283,-49.154453,03-01-04-01-01-02-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav,0 days,0 days 00:00:03.737062500,28.032854,0.094122246,26.030708,27.853386,30.345825,4.315117,151.69395,90.36014,82.783165,162.79611,0.23794557,1.2344227,0.002791154,0.033124067,0.5087403,0.50594914,6.596716,3.7842789,4.8646126,3.7891536,0.09783462,1.2985924,10.6312275,1.6725878,5.340448,1.6282595,8.481491,1.5193162,1.1980596,9.926892,0.020340191,0.8656728,1.1614041,0.5679437,4.2313423,0.69997954,2.7633548,2.217343,19.336527,0.35577342,585.91675,0.5188506,1191.786,0.25080675,-127.150276,-0.72682744,1575.8982,0.23036604,893.8282,0.24603252,-125.57543,-0.7180564,2634.269,0.12796761,665.2223,0.32955366,-127.17081,-0.6934467,-11.472629,-0.64273393,19.226494,0.4659041,0.09448458,0.31374213,-0.0129623655,-0.9279558,0.21929383,0.50180405,27.856133,0.45258412,3.7797873,2.3011096,16.63134,0.9048658,-2.9286525,-5.4261456,0.7880678,6.00226,0.07533543,0.012167341,0.018532723,2.1505377,0.8174387,0.48666668,0.3091206,0.53499997,0.44522464,-40.1857,03-01-04-02-02-02-01.wav
../Data Zenodo/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,0 days,0 days 00:00:04.037375,32.74417,0.19510154,29.825745,33.837498,38.167984,8.342239,179.9885,64.35314,64.61293,47.640488,0.3619721,1.2031771,0.010222677,0.18523057,0.72919863,0.71897596,5.209534,4.1109495,7.039611,4.777832,0.17908211,1.5234662,13.745866,1.4174372,9.294564,1.219864,-0.64940244,-22.956066,-1.2215724,-13.689548,0.03550711,1.7952138,1.1312132,0.93727386,5.8356123,0.9272451,6.856448,2.6423159,22.552614,0.4011465,674.62775,0.48478523,1137.8553,0.25524688,-128.5746,-0.70636,1722.5779,0.2524798,808.1889,0.3573849,-121.94871,-0.7270331,2806.0203,0.18866496,615.10956,0.42937994,-123.95601,-0.6956771,-12.27317,-0.7139889,21.196075,0.47775483,0.114230685,0.26849082,-0.017021097,-0.86519635,0.38218215,0.8264216,23.400816,0.6195088,9.381101,1.1935085,-2.4475958,-7.252577,-10.600236,-1.9735785,-2.836477,12.770111,0.069463685,0.00656668,0.030335292,1.7412935,1.511335,0.275,0.1918984,0.3633333,0.34941223,-34.363136,03-01-07-02-02-01-01.wav
